parameter,value,metric,elasticity,abs_elasticity
tau,0.05,insured_pct,-0.022078101283289273,0.022078101283289273
tau,0.05,effective_price,0.013943643346930719,0.013943643346930719
tau,0.05,coverage,0.0014282572873951954,0.0014282572873951954
tau,0.05,profit_per_insurer,-0.016432844474089145,0.016432844474089145
tau,0.05,subsidy_per_patient,0.0031485520866174365,0.0031485520866174365
tau,0.05,risk_mse,0.0029698235051861376,0.0029698235051861376
tau,0.05,hhi,-0.05378026609744823,0.05378026609744823
tau,0.05,coverage_disparity,0.4387568555758678,0.4387568555758678
tau,0.05,goal_score,-0.015413967231714936,0.015413967231714936
tau,0.075,insured_pct,-0.004139643990617269,0.004139643990617269
tau,0.075,effective_price,-0.08348676296891887,0.08348676296891887
tau,0.075,coverage,0.0010152329742630951,0.0010152329742630951
tau,0.075,profit_per_insurer,-0.003612974789227209,0.003612974789227209
tau,0.075,subsidy_per_patient,-0.0,0.0
tau,0.075,risk_mse,-0.0024741594398768876,0.0024741594398768876
tau,0.075,hhi,-0.017515863899308773,0.017515863899308773
tau,0.075,coverage_disparity,0.21937842778793432,0.21937842778793432
tau,0.075,goal_score,0.011039923878743476,0.011039923878743476
tau,0.125,insured_pct,-0.0027597626604113604,0.0027597626604113604
tau,0.125,effective_price,-0.0879513507580274,0.0879513507580274
tau,0.125,coverage,-3.9862803151050066e-05,3.9862803151050066e-05
tau,0.125,profit_per_insurer,-0.0029490453867673243,0.0029490453867673243
tau,0.125,subsidy_per_patient,0.0,0.0
tau,0.125,risk_mse,-0.0001396060136070389,0.0001396060136070389
tau,0.125,hhi,-0.003039046318321609,0.003039046318321609
tau,0.125,coverage_disparity,0.1462522851919568,0.1462522851919568
tau,0.125,goal_score,0.012265316941951352,0.012265316941951352
tau,0.15,insured_pct,-0.0020698219953084055,0.0020698219953084055
tau,0.15,effective_price,-0.08604657468236415,0.08604657468236415
tau,0.15,coverage,-0.00013424525736291802,0.00013424525736291802
tau,0.15,profit_per_insurer,-0.002210194996549111,0.002210194996549111
tau,0.15,subsidy_per_patient,0.0,0.0
tau,0.15,risk_mse,-0.0004932129719913234,0.0004932129719913234
tau,0.15,hhi,-0.002873656042495112,0.002873656042495112
tau,0.15,coverage_disparity,0.0365630712979892,0.0365630712979892
tau,0.15,goal_score,0.012352927992890768,0.012352927992890768
coverage_target,0.8,insured_pct,0.042845315302884414,0.042845315302884414
coverage_target,0.8,effective_price,-0.24403109155705502,0.24403109155705502
coverage_target,0.8,coverage,-0.0006112108512314144,0.0006112108512314144
coverage_target,0.8,profit_per_insurer,0.02623788271328325,0.02623788271328325
coverage_target,0.8,subsidy_per_patient,0.14740755798443955,0.14740755798443955
coverage_target,0.8,risk_mse,-0.00923054507838347,0.00923054507838347
coverage_target,0.8,hhi,0.042585411802406416,0.042585411802406416
coverage_target,0.8,coverage_disparity,-0.7897623400365636,0.7897623400365636
coverage_target,0.8,goal_score,0.06462362702846423,0.06462362702846423
coverage_target,0.85,insured_pct,0.08569063060576873,0.08569063060576873
coverage_target,0.85,effective_price,-0.32039878845860925,0.32039878845860925
coverage_target,0.85,coverage,-0.003053100403057224,0.003053100403057224
coverage_target,0.85,profit_per_insurer,0.05237646134810051,0.05237646134810051
coverage_target,0.85,subsidy_per_patient,0.2948085045923645,0.2948085045923645
coverage_target,0.85,risk_mse,-0.01878148651141388,0.01878148651141388
coverage_target,0.85,hhi,0.15622403663394532,0.15622403663394532
coverage_target,0.85,coverage_disparity,-1.5795246800731255,1.5795246800731255
coverage_target,0.85,goal_score,0.10214915301561041,0.10214915301561041
coverage_target,0.95,insured_pct,0.22664550848626824,0.22664550848626824
coverage_target,0.95,effective_price,-0.4868849394229907,0.4868849394229907
coverage_target,0.95,coverage,-0.017644650040405635,0.017644650040405635
coverage_target,0.95,profit_per_insurer,0.21034355269539798,0.21034355269539798
coverage_target,0.95,subsidy_per_patient,-0.034803980269383035,0.034803980269383035
coverage_target,0.95,risk_mse,-0.01862787946095975,0.01862787946095975
coverage_target,0.95,hhi,0.505710486906389,0.505710486906389
coverage_target,0.95,coverage_disparity,-4.60694698354662,4.60694698354662
coverage_target,0.95,goal_score,0.21060793229178018,0.21060793229178018
coverage_target,0.98,insured_pct,0.28524734372843913,0.28524734372843913
coverage_target,0.98,effective_price,-0.515744703485584,0.515744703485584
coverage_target,0.98,coverage,-0.018017299933016474,0.018017299933016474
coverage_target,0.98,profit_per_insurer,0.26618909302753113,0.26618909302753113
coverage_target,0.98,subsidy_per_patient,-0.015899068424934493,0.015899068424934493
coverage_target,0.98,risk_mse,0.002804973730791971,0.002804973730791971
coverage_target,0.98,hhi,0.5665868680120979,0.5665868680120979
coverage_target,0.98,coverage_disparity,-6.375685557586838,6.375685557586838
coverage_target,0.98,goal_score,0.25052260137694715,0.25052260137694715
fl_interval,2.0,insured_pct,-0.006942527942596746,0.006942527942596746
fl_interval,2.0,effective_price,-0.004262577072247015,0.004262577072247015
fl_interval,2.0,coverage,-0.002433754418424872,0.002433754418424872
fl_interval,2.0,profit_per_insurer,-0.012046188314471172,0.012046188314471172
fl_interval,2.0,subsidy_per_patient,1.25,1.25
fl_interval,2.0,risk_mse,-1.2791317549803967,1.2791317549803967
fl_interval,2.0,hhi,0.09434917634350562,0.09434917634350562
fl_interval,2.0,coverage_disparity,0.16453382084095058,0.16453382084095058
fl_interval,2.0,goal_score,-0.004273422653752599,0.004273422653752599
fl_interval,5.0,insured_pct,-0.002621774527390815,0.002621774527390815
fl_interval,5.0,effective_price,0.0038754470244888374,0.0038754470244888374
fl_interval,5.0,coverage,-0.0004404914657002697,0.0004404914657002697
fl_interval,5.0,profit_per_insurer,-0.000940625714687978,0.000940625714687978
fl_interval,5.0,subsidy_per_patient,-1.8652733677477498,1.8652733677477498
fl_interval,5.0,risk_mse,-0.4504528427823807,0.4504528427823807
fl_interval,5.0,hhi,-0.0077707587408114235,0.0077707587408114235
fl_interval,5.0,coverage_disparity,-0.018281535648994023,0.018281535648994023
fl_interval,5.0,goal_score,-0.0023554103733326266,0.0023554103733326266
fl_interval,20.0,insured_pct,-0.0008624258313784064,0.0008624258313784064
