parameter,value,seed,insured_pct,effective_price,coverage,profit_per_insurer,subsidy_per_patient,risk_mse,hhi,coverage_disparity,goal_score,convergence_month
tau,0.05,0,0.9800000000000001,173.00134045355725,0.7896173183880062,2921.5310482895557,0.0,0.012003529242180629,0.61142,0.040000000000000036,0.8048328362623905,43
tau,0.05,1,0.9650000000000001,166.9159892577727,0.7891014202226213,2877.436648940051,0.0,0.019180297963056085,0.45795,0.07999999999999996,0.7937713259089987,64
tau,0.05,2,0.9700000000000001,170.55143812601165,0.7727545555578502,2806.3683442655783,0.0,0.01784635819939361,0.44692,0.12000000000000002,0.7932972077357913,29
tau,0.05,3,0.9700000000000001,167.606512636407,0.7695954326809593,2987.011043536463,0.0,0.0053233329370583225,0.4940399999999999,0.07999999999999996,0.7929511559581903,20
tau,0.05,4,0.9399999999999998,169.89911604968088,0.7686068344623938,2753.547655551372,0.0,0.004635281780265071,0.45348000000000005,0.12000000000000002,0.7778289579027392,15
tau,0.05,5,0.9800000000000001,163.93027773754952,0.7731194980223146,2737.928869944254,0.0,0.0062008325085022836,0.5587,0.040000000000000036,0.802464335840406,113
tau,0.05,6,0.99,166.1538928549417,0.7529607486904946,2809.9944927674405,0.0,0.012223659195430442,0.48396000000000006,0.040000000000000036,0.7933227316540272,33
tau,0.05,7,0.983,150.17932753528515,0.7782278662277654,2896.8611667225555,0.19304170673932533,0.006311223225598785,0.5434300000000001,0.06799999999999998,0.8044032897670352,27
tau,0.05,8,0.99,166.42721191093756,0.7779034732963026,2997.241438067188,0.0,0.006302675208772047,0.5598599999999999,0.040000000000000036,0.8002615020500448,36
tau,0.05,9,0.9800000000000001,167.4231135079852,0.7909447789229875,3036.7991418655247,0.0,0.0063585679227557285,0.5813599999999999,0.040000000000000036,0.8086444801048296,72
tau,0.05,10,0.99,154.78442636703804,0.7639457056666908,2818.4957756515587,0.0,0.007400747023876714,0.56702,0.040000000000000036,0.7937166835735683,120
tau,0.05,11,0.99,171.24261006719354,0.7766474698665913,2960.730967098527,0.0,0.008570753430189412,0.5395999999999999,0.040000000000000036,0.8036665589509185,23
tau,0.05,12,0.9700000000000001,174.0922156911225,0.80241690871954,2975.927958890573,0.0,0.008523602912616602,0.46014,0.07999999999999996,0.7990713537810682,35
tau,0.05,13,0.9800000000000001,167.8233518142874,0.7662860530590284,2718.404524423523,0.0,0.005078860778988742,0.5505399999999999,0.040000000000000036,0.7905552943659803,42
tau,0.05,14,0.9600000000000002,168.8874686576009,0.7853391465068807,3022.154856632604,0.0,0.02360050597771934,0.5214000000000001,0.07999999999999996,0.7883190410495013,34
tau,0.05,15,0.99,166.26302588333962,0.7753861870382716,3092.2737090355663,0.0,0.009643802443684846,0.49268,0.040000000000000036,0.8059607029968696,82
tau,0.05,16,0.99,163.02844839217806,0.7751563148469941,2867.195964960708,0.0,0.009616980931405034,0.45394000000000007,0.040000000000000036,0.8086508780561497,14
tau,0.05,17,0.9800000000000001,163.3692358581284,0.760807847328753,2801.5608328551552,0.0,0.00482072478854981,0.55088,0.07999999999999996,0.7989474788401635,112
tau,0.05,18,0.9600000000000002,164.8716133338399,0.7756402826618929,2810.9229606434837,0.0,0.012372527616265366,0.5635399999999999,0.0,0.780445950760827,33
tau,0.05,19,0.9700000000000001,166.5254134601385,0.7760147127396666,2641.3022950161526,0.0,0.02287260770790838,0.61858,0.07999999999999996,0.7986143958111013,20
tau,0.05,20,0.9700000000000001,165.01135433744307,0.7849362599753776,2813.101924036259,0.0,0.03581851073929479,0.7183399999999999,0.040000000000000036,0.7955351715149582,120
tau,0.05,21,0.99,158.454483134572,0.7729847244629996,2831.4899906394758,0.0,0.02675797112018032,0.45926,0.040000000000000036,0.807234899141377,14
tau,0.05,22,0.99,159.3639502679885,0.7633387792153172,2782.278287592987,0.0,0.008053509307971532,0.5886399999999999,0.040000000000000036,0.8055587427747856,120
tau,0.05,23,1.0,158.223182017243,0.7632055700423085,2949.838850187384,0.0,0.009939644771810384,0.5165400000000002,0.0,0.8036862312301677,14
tau,0.05,24,0.99,152.48598778450184,0.762592760119695,2550.0235762094626,0.0,0.01013640507929555,0.5699399999999999,0.040000000000000036,0.8024568067914031,113
tau,0.05,25,0.9700000000000001,169.11538743760764,0.7905066666895939,3147.214777082569,0.0,0.0084352145624304,0.48216000000000003,0.040000000000000036,0.7951831631321713,120
tau,0.05,26,0.9700000000000001,167.62730842540003,0.7957828087946359,2745.8532540232636,0.0,0.01730526325373653,0.4992400000000001,0.07999999999999996,0.799410896306792,23
tau,0.05,27,0.9700000000000001,167.42803840000926,0.7844744998246991,2896.177767928301,0.0,0.006206610683375576,0.6073000000000001,0.07999999999999996,0.7896866819702566,40
tau,0.05,28,0.9600000000000002,164.00865699256548,0.7649854111474746,2727.199840793453,0.0,0.01956617851386475,0.38168,0.07999999999999996,0.7795870838170645,60
tau,0.05,29,0.9700000000000001,169.54088014071885,0.7959337296419103,3036.050668105472,0.0,0.0039661958868216236,0.5622199999999999,0.07999999999999996,0.7983740720658214,41
tau,0.075,0,0.9700000000000001,175.9860813452347,0.7880832421371127,2904.3552522737136,0.0,0.012185722901282175,0.58714,0.07999999999999996,0.7972673405473084,43
tau,0.075,1,0.9650000000000001,168.0531262967945,0.7910801454397436,2864.2599560687568,0.0,0.019098346906848793,0.45529000000000003,0.07999999999999996,0.7935097063853049,64
tau,0.075,2,0.9600000000000002,172.69337753571227,0.7740781629694866,2788.108842031726,0.0,0.017866309317420597,0.48007999999999995,0.16000000000000006,0.7871432549849215,29
tau,0.075,3,0.9600000000000002,172.48830861014295,0.7720011664567025,2961.4097108724714,0.0,0.005208601571808389,0.48912000000000005,0.12000000000000002,0.7850923357404593,20
tau,0.075,4,0.93,172.85697794757908,0.7687622219423846,2720.592868738785,0.0,0.004575804684287215,0.4648600000000001,0.12000000000000002,0.7707385180662667,15
tau,0.075,5,0.9600000000000002,168.11991840758031,0.7688028431539922,2682.1835762187525,0.0,0.006142160444751956,0.4964400000000001,0.07999999999999996,0.7881162782515834,113
tau,0.075,6,0.9800000000000001,167.11972121503877,0.7537250782220972,2774.9984567895162,0.0,0.012200607965163934,0.4721,0.040000000000000036,0.7878104571696107,33
tau,0.075,7,0.9630000000000001,166.05296402715877,0.7802635565732188,2865.3755409790347,0.1933460868519238,0.006397898647631878,0.49467,0.06799999999999998,0.7822706649401325,27
tau,0.075,8,0.9800000000000001,171.08715038141958,0.7796248998045476,2980.912204774743,0.0,0.006498734555422099,0.52956,0.040000000000000036,0.7921894472893605,34
tau,0.075,9,0.9800000000000001,165.96517239743832,0.79062947015319,3048.5152060642404,0.0,0.006386655018805672,0.5521,0.040000000000000036,0.8095827211893486,72
