parameter,value,seed,month,insured_pct,effective_price,coverage,profit_per_insurer,subsidy_per_patient,risk_mse,hhi,coverage_disparity,goal_score,insurer_mse_disparity
tau,0.05,0,1,0.1,37.76223151734503,0.16090888118677923,89.54486914786258,0.0,0.0015708432103254796,0.003,0.16,0.27122662759438104,0.00032181883433650025
tau,0.05,0,2,0.1,57.5309171359576,0.24813110038064337,138.2014284754786,0.0,0.0015604040709614165,0.0034000000000000002,0.16,0.2833670162763123,0.00032358743395387995
tau,0.05,0,3,0.1,114.80897596488128,0.4906387354989514,261.1612362705784,0.0,0.0016183961897603036,0.0036000000000000008,0.16,0.31509091737570377,0.0003035232057065746
tau,0.05,0,4,0.1,133.36984287729797,0.5758092533858409,304.13234964938596,0.0,0.001785972643258517,0.003,0.16,0.32703899842570766,0.00020997705987434905
tau,0.05,0,5,0.1,152.16257302256778,0.6560045201189905,350.1354918277476,0.0,0.0020381008664313457,0.0034000000000000007,0.16,0.3384476720300396,0.00018001690210637015
tau,0.05,0,6,0.9,167.99940067665867,0.7933701757901708,3562.6141787982547,14.970516729093365,0.0023937468400806565,0.3452,0.15999999999999992,0.7676260761200305,0.00017584039949210348
tau,0.05,0,7,0.96,165.15374698703897,0.7923621981253396,3733.2029333444552,4.211939768744904,0.0029463664277633627,0.37740000000000007,0.07999999999999996,0.7999260103378449,0.00031154958446024533
tau,0.05,0,8,0.98,163.66230675660336,0.7907374425772038,3773.8082739194406,1.9103379267165514,0.0030710082436873672,0.457,0.040000000000000036,0.8094234599504556,0.0006203352948533584
tau,0.05,0,9,0.98,163.73892679795617,0.7883951803176886,3819.4869508046913,0.0,0.0031299947892761033,0.4366,0.040000000000000036,0.8088099084404126,0.0008815444825581642
tau,0.05,0,10,0.98,164.6810712783596,0.7936738052618962,3843.554262378946,0.0,0.007222888732093091,0.42499999999999993,0.040000000000000036,0.8091915031144932,0.0011037289969705417
tau,0.05,0,11,0.98,165.55863574725916,0.7879313496846818,3841.9076636113396,0.0,0.007074344981711677,0.4532,0.040000000000000036,0.8065536451947269,0.002811839753054789
tau,0.05,0,12,0.98,165.22324916989817,0.7856566378725635,3883.100415212528,0.0,0.007147038412867708,0.4754,0.040000000000000036,0.8058416525414721,0.0027301165362648865
tau,0.05,0,13,0.98,165.06522558333486,0.7871781359265964,3786.8332483778304,0.0,0.0068271469663083425,0.4922,0.040000000000000036,0.8066627028764967,0.0029862246643526575
tau,0.05,0,14,0.98,164.45744550778556,0.78723071168024,3792.53245266416,0.0,0.006367032501053444,0.4676,0.040000000000000036,0.8075745483329541,0.0026738031762859474
tau,0.05,0,15,0.98,164.86948399434462,0.7887338706240223,3815.4267857043465,0.0,0.00625459867997403,0.4786,0.040000000000000036,0.8072543416353449,0.0026863792953861583
tau,0.05,0,16,0.98,164.8251894674153,0.790114337101062,3772.559655328642,0.0,0.00601421798992097,0.4754,0.040000000000000036,0.8068128939505705,0.0028272473413123674
tau,0.05,0,17,0.98,164.41211671424395,0.7898044577633674,3738.5656373432903,0.0,0.005774435218332232,0.4770000000000001,0.040000000000000036,0.807935465447813,0.002852824661876463
tau,0.05,0,18,0.98,164.10710362485986,0.7904922571737789,3756.7457905244546,0.0,0.005436196587199674,0.4878,0.040000000000000036,0.807330273980516,0.0030436761756986713
tau,0.05,0,19,0.98,163.97543143482898,0.7890583852467016,3728.6727803617423,0.0,0.005065317603191592,0.4726,0.040000000000000036,0.8075260644436686,0.003385835744994129
tau,0.05,0,20,0.98,164.24525693501573,0.7894863358948513,3730.1812844499395,0.0,0.025532289850261996,0.48360000000000003,0.040000000000000036,0.8060773576166502,0.0036831298469251063
tau,0.05,0,21,0.98,166.41228230831564,0.7794984378612105,3776.979997073873,0.0,0.025111672733299114,0.5429999999999999,0.040000000000000036,0.8024148617159073,0.005993279441023869
tau,0.05,0,22,0.98,166.33235852574,0.783019672566344,3749.762839773083,0.0,0.024654511427500827,0.5106,0.040000000000000036,0.803628893610201,0.004459867216272567
tau,0.05,0,23,0.98,167.00415785246486,0.7857931973010414,3708.2381020522125,0.0,0.0240253756483712,0.4786,0.040000000000000036,0.8045398586950234,0.0049997154463292965
tau,0.05,0,24,0.98,166.3474085479515,0.7890349982904928,3659.847380341033,0.0,0.024145642077891476,0.4786,0.040000000000000036,0.8070044015976555,0.004677606455368417
tau,0.05,0,25,0.98,166.6839742207061,0.7917075666517392,3567.625364854962,0.0,0.023389623868634943,0.4346,0.040000000000000036,0.8077837359800274,0.0031213324968815113
tau,0.05,0,26,0.98,167.07930459040264,0.790196515390021,3635.883697201582,0.0,0.02316008676790017,0.4366,0.040000000000000036,0.8068525243807032,0.004034609391344142
tau,0.05,0,27,0.98,167.02402890861632,0.7873231656622532,3563.6430599059913,0.0,0.023039047156469802,0.457,0.040000000000000036,0.8055399300517792,0.0035186020237570736
tau,0.05,0,28,0.98,166.99120564953924,0.787309715913415,3570.06082780379,0.0,0.022683247587362315,0.457,0.040000000000000036,0.8044833037789875,0.0026434689599903545
tau,0.05,0,29,0.98,167.5751073544089,0.7870584862052538,3538.744136184331,0.0,0.022799555123302482,0.47480000000000006,0.040000000000000036,0.8052120023238359,0.002870386075515516
tau,0.05,0,30,0.98,167.84068238773386,0.790102667509501,3499.024671331719,0.0,0.036017824751925984,0.45419999999999994,0.040000000000000036,0.8069750363413646,0.0027683273589608256
tau,0.05,0,31,0.98,169.27425922369727,0.7787308393015394,3523.4370128277405,0.0,0.03613798423772736,0.569,0.040000000000000036,0.8026432708983144,0.001850926566412801
tau,0.05,0,32,0.98,168.66679610592774,0.7800882720826199,3502.6623890901965,0.0,0.03702088786308339,0.5190000000000001,0.040000000000000036,0.8034652796756617,0.0008876778946301043
tau,0.05,0,33,0.98,167.3598699246591,0.7852709686205263,3513.0947105494047,0.0,0.03717674653846789,0.5102000000000001,0.040000000000000036,0.8059367330788971,0.0007589222436338639
tau,0.05,0,34,0.98,167.25990210071964,0.7850414500580225,3396.781152264656,0.0,0.03708558471471625,0.514,0.040000000000000036,0.8065232617582069,0.0020462877585843897
tau,0.05,0,35,0.98,167.55538517207182,0.7881733204214754,3421.845687924526,0.0,0.03675384049603127,0.49800000000000005,0.040000000000000036,0.8079385560437613,0.0014822773170254204
tau,0.05,0,36,0.98,167.35700487623032,0.7877618952018399,3344.031816771493,0.0,0.03655992516244197,0.5190000000000001,0.040000000000000036,0.8067135808529247,0.00238081757821311
tau,0.05,0,37,0.98,166.63565089017217,0.7834509742447152,3336.3446256381267,0.0,0.03712962762834569,0.5966,0.040000000000000036,0.8066839699289785,0.003479651092188381
tau,0.05,0,38,0.98,166.7085299746879,0.7838924434000837,3313.3421836077505,0.0,0.03782224351324464,0.5715999999999999,0.040000000000000036,0.8070389756120872,0.003070412287200214
tau,0.05,0,39,0.98,167.26256054674292,0.7851953951629534,3291.5312119410637,0.0,0.037569934039206124,0.5226,0.040000000000000036,0.808450768927603,0.0034133486138112484
tau,0.05,0,40,0.98,168.14823152701973,0.7856149596085322,3398.46988998279,0.0,0.009142495649612451,0.47100000000000003,0.040000000000000036,0.8069987096021071,0.004240062991737782
tau,0.05,0,41,0.98,169.7011582060944,0.7922102654858117,3366.857453812836,0.0,0.009089827243531226,0.41960000000000003,0.040000000000000036,0.8087830210174053,0.0006739800137179107
tau,0.05,0,42,0.98,169.64112465437535,0.7902694521441168,3334.9413783997306,0.0,0.009100905047147763,0.4446,0.040000000000000036,0.8087424794519102,0.0015585441605497378
tau,0.05,0,43,0.98,169.33366237567972,0.7871451663579436,3200.4755387765895,0.0,0.010426128438676265,0.5038,0.040000000000000036,0.806839328690592,0.0047667054052810895
tau,0.05,0,44,0.98,169.7022839059049,0.7877113489075487,3294.56814898585,0.0,0.010389630849731808,0.49820000000000003,0.040000000000000036,0.8052631538242475,0.000977857830263283
tau,0.05,0,45,0.98,169.84408169357783,0.7856656261405827,3233.321225529755,0.0,0.011211441656697794,0.48660000000000003,0.040000000000000036,0.8052193183815273,0.001369150592870962
tau,0.05,0,46,0.98,169.75928622285656,0.786254888321845,3138.979784925651,0.0,0.01270562516036051,0.5190000000000001,0.040000000000000036,0.8049420789426751,0.002087686237195686
tau,0.05,0,47,0.98,169.67105505118917,0.7835223848247803,3108.707243613538,0.0,0.012400480758843124,0.4646,0.040000000000000036,0.8034698187450399,0.0030806162568265206
tau,0.05,0,48,0.98,169.04980956092055,0.7861868761398861,3192.6894332485313,0.0,0.011492391922547847,0.4990000000000001,0.040000000000000036,0.8029779494371145,0.0028817142836053025
tau,0.05,0,49,0.98,169.59138372639086,0.7834693233800473,3133.934816688237,0.0,0.013366792229544221,0.5203999999999999,0.040000000000000036,0.8026868951879064,0.0032580526157393805
tau,0.05,0,50,0.98,168.67899575866602,0.7806289559762168,3012.210009494039,0.0,0.038522382969836934,0.5668,0.040000000000000036,0.802161247532622,0.003964587041148764
tau,0.05,0,51,0.98,171.96182890148614,0.7699259941317812,3128.0359106251826,0.0,0.03818689905637346,0.6022,0.040000000000000036,0.7979611596162342,0.0002669830027144616
tau,0.05,0,52,0.98,170.68618233953157,0.7780324972644168,3159.2517475196323,0.0,0.038652997831450986,0.5306,0.040000000000000036,0.8005498176007804,0.0002222029007598273
tau,0.05,0,53,0.98,170.45803527296255,0.783382638512804,3103.626228808374,0.0,0.03883829526875115,0.5251999999999999,0.040000000000000036,0.8024019600081287,0.0002516338398114719
tau,0.05,0,54,0.98,171.74286252340633,0.7821528417753888,3049.296957598452,0.0,0.03933997620307815,0.49820000000000003,0.040000000000000036,0.8012781613530888,0.00038656346551265526
tau,0.05,0,55,0.98,170.98645655888905,0.7859395943841415,2990.686484977058,0.0,0.039648393925272085,0.5508,0.040000000000000036,0.8031220247013314,0.0004852028808748285
tau,0.05,0,56,0.98,172.25540131631058,0.7874457554377559,3083.4360836688597,0.0,0.0394641547268723,0.48860000000000003,0.040000000000000036,0.8022393389242505,0.000546764028283157
tau,0.05,0,57,0.98,172.07279003867458,0.78440868398467,3210.593261419435,0.0,0.039979946853700155,0.4722,0.040000000000000036,0.8020544718405017,0.0005517012297778416
tau,0.05,0,58,0.98,172.24253015984016,0.7858089265992946,3039.162281898425,0.0,0.03942466317951794,0.4612,0.040000000000000036,0.8023842616080405,0.0005675344530639004
tau,0.05,0,59,0.98,172.1799146023869,0.7864303495252633,3224.3833090485796,0.0,0.040210717762943694,0.48360000000000003,0.040000000000000036,0.8027876623835949,0.0004684824060540104
tau,0.05,0,60,0.98,172.53032408354136,0.7863463046912207,3167.259528450605,0.0,0.013016700426231037,0.4654,0.040000000000000036,0.8025731404853498,0.0004943707071000229
tau,0.05,0,61,0.98,171.76208911214633,0.7906697401782855,3066.6510009505164,0.0,0.01458708404508142,0.3986,0.040000000000000036,0.8050278694437724,0.00038987473210430287
tau,0.05,0,62,0.98,172.20053375106104,0.7874644398120911,3118.9673435311615,0.0,0.014153215271458922,0.4492,0.040000000000000036,0.8027081860394778,0.00018488031316782642
tau,0.05,0,63,0.98,171.8772814176656,0.7876528016932794,3019.756838227694,0.0,0.014486196048124626,0.4722,0.040000000000000036,0.8043831026109811,0.0003324743509577424
tau,0.05,0,64,0.98,170.7403164157974,0.7845768371223321,2923.991253084772,0.0,0.013815332900381744,0.5018,0.040000000000000036,0.8031040295855841,0.00026301520575297836
tau,0.05,0,65,0.98,171.44238801590282,0.7836701831778579,3003.2588736681146,0.0,0.01456288257385102,0.5018,0.040000000000000036,0.8018713229670051,0.00018441825714542257
tau,0.05,0,66,0.98,172.67095714937847,0.7848762583041101,2903.0825732252392,0.0,0.01364412095981466,0.5026,0.040000000000000036,0.8010563932924997,0.0003269298402836145
tau,0.05,0,67,0.98,172.4120171108899,0.7863949488252429,2931.537577825616,0.0,0.014345689949996944,0.5026,0.040000000000000036,0.8009867612825124,0.000307821799884428
tau,0.05,0,68,0.98,173.90957456487024,0.7912110557406256,3062.0147937825723,0.0,0.014484676726569095,0.511,0.040000000000000036,0.8016760595460336,0.000297648504350478
tau,0.05,0,69,0.98,174.59967391830187,0.7907009160553156,2914.837012761119,0.0,0.016104001822861615,0.45640000000000003,0.040000000000000036,0.8003012725058254,0.00028587912810416677
tau,0.05,0,70,0.98,173.84672785765594,0.7921053077656283,2928.217286153231,0.0,0.015520983277951124,0.49500000000000005,0.040000000000000036,0.8023028429699037,0.00023634855044832618
tau,0.05,0,71,0.98,172.5200000718059,0.7964495819303922,2919.4642829557056,0.0,0.01569558590223819,0.4522,0.040000000000000036,0.8046444118153504,0.012571054499504297
