parameter,value,seed_mean,seed_std,seed_count,insured_pct_mean,insured_pct_std,insured_pct_count,effective_price_mean,effective_price_std,effective_price_count,coverage_mean,coverage_std,coverage_count,profit_per_insurer_mean,profit_per_insurer_std,profit_per_insurer_count,subsidy_per_patient_mean,subsidy_per_patient_std,subsidy_per_patient_count,risk_mse_mean,risk_mse_std,risk_mse_count,hhi_mean,hhi_std,hhi_count,coverage_disparity_mean,coverage_disparity_std,coverage_disparity_count,goal_score_mean,goal_score_std,goal_score_count,convergence_month_mean,convergence_month_std,convergence_month_count
tau,0.05,14.5,8.803408430829505,30,0.9769333333333333,0.013067288279842337,30,165.14117528443484,5.713811636489,30,0.7766404588273339,0.012126062701854321,30,2867.097287725215,136.4260614768585,30,0.006434723557977511,0.035244432440141846,30,0.011835745857099957,0.0077176172073230185,30,0.5298253333333334,0.06794667781243705,30,0.05693333333333334,0.028876590367707313,30,0.7972146636705132,0.00832043154754925,30,54.4,38.72769658472629,30
tau,0.075,14.5,8.803408430829505,30,0.9672666666666667,0.014080882939923082,30,169.77156792054652,3.77810836814885,30,0.7769982177600014,0.012306281724466541,30,2846.300567999694,144.69056507670666,30,0.006444869561730794,0.03530000439138389,30,0.011860678799027446,0.007726091907780071,30,0.5182106666666667,0.06134695248217774,30,0.06893333333333333,0.0346757724557406,30,0.7889340644612335,0.009849365044893855,30,57.2,40.420547864361914,30
tau,0.1,14.5,8.803408430829505,30,0.9662666666666667,0.013203796040724745,30,166.30059336557107,3.7608196193389913,30,0.7771954763787683,0.01222543033518338,30,2843.7319850074064,145.22525712079542,30,0.006444869561730794,0.03530000439138389,30,0.011853347031414468,0.007724097598679393,30,0.5159513333333333,0.062408574329855165,30,0.07293333333333332,0.0316477741586261,30,0.7911175337993045,0.009026054475950151,30,57.2,40.420547864361914,30
tau,0.125,14.5,8.803408430829505,30,0.9656000000000001,0.013763018915019088,30,162.6440029109802,4.0002929095825905,30,0.777187731081197,0.01228545571849926,30,2841.635411334509,144.91748647599903,30,0.006444869561730794,0.03530000439138389,30,0.01185293333178273,0.007722444689381549,30,0.5155593333333334,0.06218154205191459,30,0.07559999999999999,0.035410499124918636,30,0.7935433606219005,0.009045385837103653,30,54.36666666666667,38.81386468717104,30
tau,0.15,14.5,8.803408430829505,30,0.9652666666666667,0.014741293943424282,30,159.14579515219503,4.317423783387359,30,0.7771433089753944,0.012228299183313047,30,2840.5893839050113,145.8454272753606,30,0.006444869561730794,0.03530000439138389,30,0.011850423919155766,0.00772295391421825,30,0.5152100000000001,0.060678920386822516,30,0.07426666666666666,0.03442025599829998,30,0.7960038427637726,0.009708892018639002,30,54.333333333333336,38.82616726342965,30
coverage_target,0.8,14.5,8.803408430829505,30,0.9616666666666667,0.016182863080161886,30,170.8097617350806,3.5144608671169757,30,0.7772482575241785,0.01244654870105276,30,2835.441595419557,147.37806431377857,30,0.006339311507994907,0.034721839119809014,30,0.011865504015203714,0.0077129780763627795,30,0.51351,0.06560562444349335,30,0.07933333333333333,0.03413697897197896,30,0.7854369910837572,0.010229155097139286,30,52.86666666666667,37.190778735978434,30
coverage_target,0.85,14.5,8.803408430829505,30,0.9616666666666667,0.016182863080161886,30,169.26073273414195,3.4781211070381093,30,0.7773273017022231,0.01248548272886434,30,2835.457283985346,147.4250105002984,30,0.006339313875187088,0.03472185208545457,30,0.011865715002380338,0.007712025469997562,30,0.5114733333333333,0.06656683601817998,30,0.07933333333333333,0.03413697897197896,30,0.7866279790207824,0.010206690432278122,30,50.63333333333333,36.13526630958139,30
coverage_target,0.9,14.5,8.803408430829505,30,0.9662666666666667,0.013203796040724745,30,166.30059336557107,3.7608196193389913,30,0.7771954763787683,0.01222543033518338,30,2843.7319850074064,145.22525712079542,30,0.006444869561730794,0.03530000439138389,30,0.011853347031414468,0.007724097598679393,30,0.5159513333333333,0.062408574329855165,30,0.07293333333333332,0.0316477741586261,30,0.7911175337993045,0.009026054475950151,30,57.2,40.420547864361914,30
coverage_target,0.95,14.5,8.803408430829505,30,0.9784333333333334,0.011409866671931916,30,161.8023014585264,4.851586462824272,30,0.7764336240346744,0.012046174893659617,30,2876.9631343762944,128.6396127239618,30,0.006432408055449392,0.03523174991047572,30,0.011841080213652797,0.007703018805634722,30,0.530447,0.06470814280955733,30,0.05426666666666667,0.028453147614901954,30,0.800373957576707,0.007936898472691304,30,55.3,38.625657008138326,30
coverage_target,0.98,14.5,8.803408430829505,30,0.9907666666666667,0.0069266269510880815,30,158.67671334647744,4.44764490925066,30,0.7759507684672573,0.012104256111996682,30,2911.018246154295,137.55134378510456,30,0.006435761346428417,0.035250116641586636,30,0.011856302438262923,0.007744805170278209,30,0.5419363333333334,0.06539074132940531,30,0.031600000000000024,0.021993102366972654,30,0.8087346735826216,0.0075210818324541575,30,56.733333333333334,38.90743509597011,30
fl_interval,2.0,14.5,8.803408430829505,30,0.9716333333333333,0.012920134869941225,30,166.86768864267597,4.37109206440384,30,0.7787086787184616,0.012900531946793092,30,2871.1368898132337,144.2425986414938,30,0.0,0.0,30,0.023982941103962367,0.01603799113860913,30,0.47700766666666666,0.05189421439304447,30,0.06333333333333332,0.03154999681221179,30,0.7938221574718795,0.0099333101171975,30,36.1,32.185186140467664,30
fl_interval,5.0,14.5,8.803408430829505,30,0.9675333333333335,0.012626554758027661,30,165.97834879570638,4.204894846991258,30,0.7773666503660313,0.013074555090657851,30,2845.0694287227952,138.22255070929697,30,0.012455591337783074,0.04740244240550957,30,0.014523033964807839,0.009226025809937014,30,0.5179560000000001,0.04814281101487313,30,0.07359999999999998,0.03201034315601001,30,0.7920492370221227,0.008568447592667785,30,35.13333333333333,27.244402567580146,30
fl_interval,10.0,14.5,8.803408430829505,30,0.9662666666666667,0.013203796040724745,30,166.30059336557107,3.7608196193389913,30,0.7771954763787683,0.01222543033518338,30,2843.7319850074064,145.22525712079542,30,0.006444869561730794,0.03530000439138389,30,0.011853347031414468,0.007724097598679393,30,0.5159513333333333,0.062408574329855165,30,0.07293333333333332,0.0316477741586261,30,0.7911175337993045,0.009026054475950151,30,57.2,40.420547864361914,30
fl_interval,20.0,14.5,8.803408430829505,30,0.9654333333333334,0.012461480880983897,30,166.45416934578319,4.415050763858582,30,0.7775854433277637,0.012308816906707256,30,2852.37512636546,137.81900823394977,30,0.0,0.0,30,0.027540666702027875,0.030871990711185283,30,0.4993863333333334,0.05443491187573964,30,0.07493333333333332,0.030768247552814317,30,0.7907187892761484,0.008418717955026628,30,72.8,36.722068907233236,30
fl_interval,30.0,14.5,8.803408430829505,30,0.9651000000000001,0.01358079272481854,30,166.6479633227544,4.345100774347757,30,0.7778328612384129,0.012732012187194382,30,2855.4550424487948,143.46432372478438,30,0.0,0.0,30,0.010772870225712888,0.008330020231336605,30,0.5029916666666667,0.04692976631192567,30,0.076,0.03212046291588953,30,0.7904851897144365,0.008628353507510334,30,54.4,34.992215883161684,30
dp_sigma,0.0,14.5,8.803408430829505,30,0.9645333333333334,0.013505384196639972,30,166.73096081278788,4.999609530864415,30,0.7781593324043453,0.012213261112643684,30,2860.18137141684,140.0960801624889,30,0.012483327786555552,0.04753853906267242,30,0.001333210139099363,0.0006709156112565836,30,0.48655333333333334,0.04003346757947382,30,0.07759999999999999,0.033161672933133796,30,0.7902460505242999,0.008232157441670936,30,47.333333333333336,34.943632771427296,30
dp_sigma,0.025,14.5,8.803408430829505,30,0.9646000000000001,0.013182014915838161,30,166.48959214218888,4.381752475857695,30,0.7772117350619252,0.012329621673984173,30,2850.6415893147905,144.43568207479342,30,0.006453037396522305,0.03534474146499675,30,0.004499519277803925,0.002623230024984349,30,0.49449933333333335,0.04938805222914247,30,0.07466666666666666,0.03104316609045444,30,0.7901561269357403,0.008912887541087834,30,41.0,28.966091948321587,30
dp_sigma,0.05,14.5,8.803408430829505,30,0.9662666666666667,0.013203796040724745,30,166.30059336557107,3.7608196193389913,30,0.7771954763787683,0.01222543033518338,30,2843.7319850074064,145.22525712079542,30,0.006444869561730794,0.03530000439138389,30,0.011853347031414468,0.007724097598679393,30,0.5159513333333333,0.062408574329855165,30,0.07293333333333332,0.0316477741586261,30,0.7911175337993045,0.009026054475950151,30,57.2,40.420547864361914,30
dp_sigma,0.075,14.5,8.803408430829505,30,0.9669333333333334,0.012583331430311222,30,166.00916743479638,3.722551959756164,30,0.7758357095703903,0.012465947604605163,30,2837.6963184789474,148.78060761367433,30,0.012669569975165336,0.048224705017412356,30,0.02242895615405006,0.01697527301962824,30,0.5270066666666666,0.06819032625968512,30,0.07159999999999998,0.03217795347213946,30,0.7912592089369817,0.008991038110067514,30,60.46666666666667,34.591939796007026,30
dp_sigma,0.1,14.5,8.803408430829505,30,0.9668333333333334,0.012897696488623267,30,166.11199245335294,3.6555180070540874,30,0.775029973260946,0.012909273587362007,30,2837.1933488235545,146.78274008103003,30,0.006160076044108217,0.033740126053052585,30,0.03622699177934123,0.030508853155460106,30,0.5325816666666667,0.0679639105085132,30,0.07333333333333332,0.03335631391747175,30,0.790890656924031,0.009289569167245151,30,71.6,41.41513966055708,30
imitation_weight,0.0,14.5,8.803408430829505,30,0.9662666666666667,0.013203796040724745,30,166.33146051669175,3.7561740525591527,30,0.7772740148840339,0.012300866196323652,30,2843.7221564743586,145.30926217575512,30,0.006442565851234766,0.035287386449337536,30,0.01175514142911825,0.0076674442578152716,30,0.5156893333333333,0.06304760543640311,30,0.07293333333333332,0.0316477741586261,30,0.791119095982134,0.008981814935141249,30,53.53333333333333,37.591023628936526,30
imitation_weight,0.5,14.5,8.803408430829505,30,0.9662666666666667,0.013203796040724745,30,166.2588505605092,3.808408968534719,30,0.7769063233248212,0.012595113314512225,30,2842.359274903984,147.12497234767028,30,0.006443684666458438,0.035293514452694394,30,0.011810193264882585,0.007689152591723684,30,0.5155786666666667,0.06198266257777158,30,0.07293333333333332,0.0316477741586261,30,0.7910622445387788,0.008989085557263181,30,56.43333333333333,39.271542151900604,30
imitation_weight,1.0,14.5,8.803408430829505,30,0.9662666666666667,0.013203796040724745,30,166.30059336557107,3.7608196193389913,30,0.7771954763787683,0.01222543033518338,30,2843.7319850074064,145.22525712079542,30,0.006444869561730794,0.03530000439138389,30,0.011853347031414468,0.007724097598679393,30,0.5159513333333333,0.062408574329855165,30,0.07293333333333332,0.0316477741586261,30,0.7911175337993045,0.009026054475950151,30,57.2,40.420547864361914,30
imitation_weight,1.5,14.5,8.803408430829505,30,0.9662666666666667,0.013203796040724745,30,166.3315372622147,3.762244258987178,30,0.7772029506603937,0.012236822636085663,30,2844.564781813099,145.16822337542106,30,0.00645433164106057,0.03535183033428211,30,0.011905141305853517,0.007769690816319519,30,0.513792,0.061340178057598845,30,0.07293333333333332,0.0316477741586261,30,0.7910958099322297,0.00902310262560175,30,57.0,40.62528514488788,30
imitation_weight,2.0,14.5,8.803408430829505,30,0.9659333333333334,0.013362152762065762,30,166.33038564475135,3.7238662935903997,30,0.7771632850364177,0.012249065013029822,30,2843.3594337840677,144.89807471612806,30,0.00645540764412274,0.03535772384577307,30,0.011948421131097698,0.007800950190958666,30,0.5127226666666667,0.06058392309409539,30,0.07426666666666666,0.03277818169762165,30,0.7909170678928057,0.00901846912821328,30,55.1,39.07053744897458,30
gap_beta,1.0,14.5,8.803408430829505,30,0.9746000000000001,0.013720359902789301,30,163.63353576127307,5.066510537995008,30,0.7762613922275678,0.012416177655916617,30,2860.650312519082,145.8469793520148,30,0.006422302208611966,0.035176397907720224,30,0.011845603107785619,0.007729127541975589,30,0.5272106666666667,0.06919433053979618,30,0.062266666666666665,0.02698011187489051,30,0.7970422086834978,0.008696929322010797,30,54.4,38.72769658472629,30
gap_beta,2.0,14.5,8.803408430829505,30,0.9679333333333334,0.01419794383688717,30,168.89568104772013,4.245782722237769,30,0.7770061065363106,0.012390524551223334,30,2847.1783367283538,145.05007617957568,30,0.006441806487613919,0.035283227243492664,30,0.011858522347408222,0.007723065605197602,30,0.5223293333333333,0.06835734110027136,30,0.07026666666666667,0.034291783808685264,30,0.7899453610322024,0.009735370859827763,30,57.233333333333334,40.40116363408987,30
gap_beta,3.0,14.5,8.803408430829505,30,0.9662666666666667,0.013203796040724745,30,166.30059336557107,3.7608196193389913,30,0.7771954763787683,0.01222543033518338,30,2843.7319850074064,145.22525712079542,30,0.006444869561730794,0.03530000439138389,30,0.011853347031414468,0.007724097598679393,30,0.5159513333333333,0.062408574329855165,30,0.07293333333333332,0.0316477741586261,30,0.7911175337993045,0.009026054475950151,30,57.2,40.420547864361914,30
gap_beta,4.0,14.5,8.803408430829505,30,0.9656000000000001,0.013763018915019088,30,161.72040656892347,4.12804138713703,30,0.7772129151003677,0.01228202243144085,30,2841.5755706313316,144.7516514907829,30,0.006444869561730794,0.03530000439138389,30,0.01185249245197954,0.007722692686510853,30,0.5151513333333334,0.06160760979268563,30,0.07559999999999999,0.035410499124918636,30,0.7942517057612152,0.009149482732667531,30,54.36666666666667,38.81386468717104,30
gap_beta,5.0,14.5,8.803408430829505,30,0.9652666666666667,0.014741293943424282,30,156.16192148078673,5.034855502377862,30,0.7771433089753944,0.012228299183313047,30,2840.5893839050113,145.8454272753606,30,0.006444869561730794,0.03530000439138389,30,0.011850423919155766,0.00772295391421825,30,0.5152100000000001,0.060678920386822516,30,0.07426666666666666,0.03442025599829998,30,0.79827380168891,0.009791590043327298,30,54.333333333333336,38.82616726342965,30
