mechanism,round,n,insured_pct_mean,insured_pct_ci95,override_residual_mean,override_residual_ci95
Bayesian direct mechanism,1,50,0.1108,0.008150645618599793,,
Bayesian direct mechanism,2,50,0.1024,0.008106664912280513,,
Bayesian direct mechanism,3,50,0.1018,0.008560676608773396,,
Bayesian direct mechanism,4,50,0.1066,0.008740486027676036,,
Bayesian direct mechanism,5,50,0.1084,0.00925881720307729,,
Bayesian direct mechanism,6,50,0.7178,0.011315464815905708,0.3383269248464809,0.012027319452927112
Bayesian direct mechanism,7,50,0.7091999999999998,0.013806470367186536,0.34580942060647746,0.0134695003461118
Bayesian direct mechanism,8,50,0.7094,0.011765465396659836,0.3376086026969069,0.01435249454235903
Bayesian direct mechanism,9,50,0.709,0.011588753168481927,0.3460779731261214,0.012065754479903141
Bayesian direct mechanism,10,50,0.7164,0.011527841775458231,0.33277447700573864,0.011320371446105015
Bayesian direct mechanism,11,50,0.7189999999999999,0.012195277774614236,0.3375852368689889,0.01329476632658953
Bayesian direct mechanism,12,50,0.709,0.01193535923213038,0.3368859094869902,0.013430939169972863
Bayesian direct mechanism,13,50,0.7053999999999999,0.01009880468174328,0.343419842202729,0.011049791852727689
Bayesian direct mechanism,14,50,0.7067999999999999,0.01144155513905343,0.33896414809041514,0.013003213324583941
Bayesian direct mechanism,15,50,0.7014000000000001,0.01353312735475433,0.34550918454735075,0.013594795249401215
Bayesian direct mechanism,16,50,0.6970000000000001,0.010465409690977218,0.3462510269052237,0.013139567747237131
Bayesian direct mechanism,17,50,0.7005999999999999,0.011050745495214336,0.34281607260332214,0.013128659564998408
Bayesian direct mechanism,18,50,0.7068000000000001,0.010468256015210937,0.3413141670655644,0.011871052145199144
Bayesian direct mechanism,19,50,0.7049999999999998,0.009622390555366163,0.3458785752613482,0.012142079717491087
Bayesian direct mechanism,20,50,0.7051999999999999,0.01229757959925448,0.3441645458885512,0.014732137975765393
Bayesian direct mechanism,21,50,0.6992,0.011267556256793217,0.3499160972974398,0.013082074134958724
Bayesian direct mechanism,22,50,0.7081999999999999,0.010738136896128674,0.3435345660936512,0.011765251584657596
Bayesian direct mechanism,23,50,0.6990000000000001,0.011961605243444542,0.3542803187931305,0.013562088189088597
