metric,comparison,reference,comparator,n_pairs,mean_paired_difference,paired_standardized_effect_dz,wilcoxon_statistic,p_value,p_holm,significant_0_05
insured_pct,fl_imdr vs dong_quan_automl,fl_imdr,dong_quan_automl,50,0.3090000000000001,6.495876276577234,0.0,7.544976683806673e-10,3.769077077497235e-09,True
insured_pct,fl_imdr vs richman_credibility,fl_imdr,richman_credibility,50,0.31660000000000005,6.771894134371152,0.0,7.546683182364461e-10,3.769077077497235e-09,True
insured_pct,fl_imdr vs piontkowski_small_portfolio,fl_imdr,piontkowski_small_portfolio,50,0.31052000000000013,6.707025266058338,0.0,7.538154154994469e-10,3.769077077497235e-09,True
insured_pct,fl_imdr vs xin_fairness,fl_imdr,xin_fairness,50,0.24912000000000012,5.153445309900677,0.0,7.539859267508618e-10,3.769077077497235e-09,True
insured_pct,fl_imdr vs sun_fhe_crl,fl_imdr,sun_fhe_crl,50,0.29646000000000006,6.467263492649843,0.0,7.544976683806673e-10,3.769077077497235e-09,True
effective_premium,fl_imdr vs dong_quan_automl,fl_imdr,dong_quan_automl,50,-2.412431188975615,-0.33552787334482836,381.0,0.012568191503659065,0.012568191503659065,True
effective_premium,fl_imdr vs richman_credibility,fl_imdr,richman_credibility,50,-14.082776599340573,-4.225831477439424,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
effective_premium,fl_imdr vs piontkowski_small_portfolio,fl_imdr,piontkowski_small_portfolio,50,-13.194788230507761,-4.090584532385617,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
effective_premium,fl_imdr vs xin_fairness,fl_imdr,xin_fairness,50,-4.007996243423696,-0.6436906085633766,243.0,7.500770700019643e-05,0.00015001541400039287,True
effective_premium,fl_imdr vs sun_fhe_crl,fl_imdr,sun_fhe_crl,50,-10.315550751151159,-3.436986819601079,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
profit_per_insurer,fl_imdr vs dong_quan_automl,fl_imdr,dong_quan_automl,50,1848.63158513121,1.629220725843043,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
profit_per_insurer,fl_imdr vs richman_credibility,fl_imdr,richman_credibility,50,1461.8544396987936,1.6461249596706817,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
profit_per_insurer,fl_imdr vs piontkowski_small_portfolio,fl_imdr,piontkowski_small_portfolio,50,1499.817299025901,1.6424384589030798,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
profit_per_insurer,fl_imdr vs xin_fairness,fl_imdr,xin_fairness,50,1480.105866612035,1.4767513986941192,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
profit_per_insurer,fl_imdr vs sun_fhe_crl,fl_imdr,sun_fhe_crl,50,1573.4647767521838,1.6600260223610854,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
accepted_coverage,fl_imdr vs dong_quan_automl,fl_imdr,dong_quan_automl,50,0.006269969092349264,0.34884162758693116,400.0,0.02122367163684835,0.02122367163684835,True
accepted_coverage,fl_imdr vs richman_credibility,fl_imdr,richman_credibility,50,-0.011083418728733337,-1.584471022604046,7.0,3.375077994860476e-14,6.750155989720952e-14,True
accepted_coverage,fl_imdr vs piontkowski_small_portfolio,fl_imdr,piontkowski_small_portfolio,50,-0.022367551990649465,-3.2174752534185056,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
accepted_coverage,fl_imdr vs xin_fairness,fl_imdr,xin_fairness,50,0.03164628335670203,2.4211106701569474,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
accepted_coverage,fl_imdr vs sun_fhe_crl,fl_imdr,sun_fhe_crl,50,-0.03649204921830742,-5.390859479609821,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
